RamanShift,AlMW5
99.1,0.001366508
100.07,0.001359838
101.03,0.001367023
102,0.001381345
102.96,0.001398798
103.93,0.001424406
104.89,0.00146575
105.85,0.001502079
106.82,0.001548408
107.78,0.001595598
108.75,0.001630409
109.71,0.001629597
110.68,0.001608763
111.64,0.001579003
112.6,0.00154802
113.57,0.001526136
114.53,0.001535421
115.5,0.001567709
116.46,0.001596097
117.43,0.001615611
118.39,0.001626364
119.35,0.001638914
120.32,0.001660808
121.28,0.001684802
122.25,0.00170493
123.21,0.001713174
124.17,0.001714571
125.14,0.001719774
126.1,0.001718938
127.07,0.001705501
128.03,0.001671785
129,0.001648771
129.96,0.001645527
130.92,0.001653507
131.89,0.001662673
132.85,0.001656473
133.82,0.001638078
134.78,0.001622145
135.75,0.001613457
136.71,0.001614256
137.67,0.001625122
138.64,0.001652355
139.6,0.001682099
140.57,0.00170808
141.53,0.001724029
142.5,0.00172354
143.46,0.001696272
144.42,0.001658065
145.39,0.001616648
146.35,0.001575908
147.32,0.00154484
148.28,0.001534816
149.25,0.001542171
150.21,0.001558044
151.17,0.001568076
152.14,0.001563464
153.1,0.001556965
154.07,0.00154808
155.03,0.001531866
155.99,0.001499383
156.96,0.001460099
157.92,0.001430573
158.89,0.001408663
159.85,0.001390109
160.82,0.001372207
161.78,0.001358144
162.74,0.001340091
163.71,0.001318068
164.67,0.00129377
165.64,0.001273976
166.6,0.00126189
167.57,0.001259832
168.53,0.001268777
169.49,0.001288238
170.46,0.001314889
171.42,0.001342039
172.39,0.001359734
173.35,0.001360367
174.32,0.001336882
175.28,0.001294595
176.24,0.001261608
177.21,0.001242645
178.17,0.001234513
179.14,0.001226511
180.1,0.00120367
181.06,0.001181993
182.03,0.001162668
182.99,0.001146971
183.96,0.001135924
184.92,0.001132326
185.89,0.001123917
186.85,0.001110019
187.81,0.001092432
188.78,0.001076728
189.74,0.001059786
190.71,0.001041764
191.67,0.001024373
192.64,0.00100857
193.6,0.00099269
194.56,0.000983063
195.53,0.000987003
196.49,0.000998347
197.46,0.00100904
198.42,0.001002
199.39,0.00099644
200.35,0.001006147
201.31,0.001021676
202.28,0.001029522
203.24,0.00101972
204.21,0.001013957
205.17,0.001011325
206.13,0.001006842
207.1,0.000995786
208.06,0.000983953
209.03,0.000985062
209.99,0.000994853
210.96,0.001008761
211.92,0.001020923
212.88,0.00103181
213.85,0.0010492
214.81,0.001070341
215.78,0.001093142
216.74,0.001116571
217.71,0.00113844
218.67,0.001144892
219.63,0.001145647
220.6,0.001149255
221.56,0.001162841
222.53,0.001186774
223.49,0.001203541
224.46,0.00120824
225.42,0.00119947
226.38,0.001179522
227.35,0.001159785
228.31,0.001155763
229.28,0.001170983
230.24,0.00120108
231.2,0.001238691
232.17,0.001270567
233.13,0.001290684
234.1,0.001294243
235.06,0.001282341
236.03,0.00126175
236.99,0.001244467
237.95,0.001237112
238.92,0.001249721
239.88,0.001282529
240.85,0.001328374
241.81,0.001379049
242.78,0.001425901
243.74,0.001458601
244.7,0.001477534
245.67,0.00148705
246.63,0.00150904
247.6,0.001553094
248.56,0.00161828
249.53,0.001704568
250.49,0.00180456
251.45,0.001887413
252.42,0.001925134
253.38,0.001944043
254.35,0.001956576
255.31,0.001969636
256.27,0.001963349
257.24,0.001967334
258.2,0.001990128
259.17,0.002028578
260.13,0.002075292
261.1,0.002143732
262.06,0.002225874
263.02,0.002299377
263.99,0.00235786
264.95,0.002405266
265.92,0.002455771
266.88,0.002502057
267.85,0.002531357
268.81,0.0025392
269.77,0.002526666
270.74,0.002501473
271.7,0.002489646
272.67,0.002502344
273.63,0.002532337
274.6,0.002568041
275.56,0.002599119
276.52,0.002648778
277.49,0.002716085
278.45,0.00278934
279.42,0.002860608
280.38,0.002933728
281.35,0.003001335
282.31,0.003062323
283.27,0.003125922
284.24,0.003196577
285.2,0.003271928
286.17,0.003332289
287.13,0.003377809
288.09,0.003412035
289.06,0.003440798
290.02,0.003473179
290.99,0.003549309
291.95,0.003651752
292.92,0.003764887
293.88,0.003877318
294.84,0.003986932
295.81,0.004054667
296.77,0.004098448
297.74,0.004150291
298.7,0.004223688
299.67,0.004318591
300.63,0.004411705
301.59,0.004497774
302.56,0.00456909
303.52,0.004619515
304.49,0.004647611
305.45,0.00467477
306.42,0.004716531
307.38,0.004764673
308.34,0.004829121
309.31,0.004924852
310.27,0.005074521
311.24,0.005207717
312.2,0.005307371
313.16,0.005382265
314.13,0.005445514
315.09,0.005484015
316.06,0.0055404
317.02,0.005639506
317.99,0.005756356
318.95,0.005860282
319.91,0.005933564
320.88,0.005984542
321.84,0.006016687
322.81,0.006044007
323.77,0.006086617
324.74,0.006170398
325.7,0.006297096
326.66,0.006413306
327.63,0.006507756
328.59,0.006576057
329.56,0.006624638
330.52,0.006666905
331.49,0.006730133
332.45,0.006825707
333.41,0.006944388
334.38,0.007071388
335.34,0.007183491
336.31,0.007281091
337.27,0.00736522
338.23,0.007441535
339.2,0.007519488
340.16,0.007617033
341.13,0.007747139
342.09,0.007910504
343.06,0.008101608
344.02,0.008306905
344.98,0.008502267
345.95,0.008642242
346.91,0.008724489
347.88,0.00878065
348.84,0.008847232
349.81,0.008962774
350.77,0.009109677
351.73,0.009250655
352.7,0.009397751
353.66,0.009553222
354.63,0.009716934
355.59,0.009877323
356.56,0.010041054
357.52,0.0102164
358.48,0.010395829
359.45,0.010564622
360.41,0.010686677
361.38,0.010764118
362.34,0.010844583
363.3,0.010943746
364.27,0.011070452
365.23,0.011224033
366.2,0.011397615
367.16,0.01155829
368.13,0.011705658
369.09,0.011844078
370.05,0.011986371
371.02,0.012131885
371.98,0.012295761
372.95,0.012472677
373.91,0.012631915
374.88,0.012748821
375.84,0.012833628
376.8,0.012937991
377.77,0.013047715
378.73,0.013161757
379.7,0.01328757
380.66,0.013444138
381.63,0.013626116
382.59,0.013797466
383.55,0.013958792
384.52,0.014115924
385.48,0.014269989
386.45,0.01441854
387.41,0.014605435
388.37,0.014823629
389.34,0.015076131
390.3,0.015361291
391.27,0.015665681
392.23,0.015906253
393.2,0.01614312
394.16,0.016405916
395.12,0.016683854
396.09,0.016907479
397.05,0.017041299
398.02,0.017185455
398.98,0.017356558
399.95,0.017566524
400.91,0.017816733
401.87,0.018122579
402.84,0.018453211
403.8,0.0187778
404.77,0.019090667
405.73,0.019381876
406.7,0.019616461
407.66,0.019790328
408.62,0.020020429
409.59,0.020312727
410.55,0.020631468
411.52,0.020903866
412.48,0.021065572
413.44,0.021208417
414.41,0.02140539
415.37,0.021682724
416.34,0.022035097
417.3,0.022392431
418.27,0.022714875
419.23,0.02303457
420.19,0.023364649
421.16,0.023697171
422.12,0.024000158
423.09,0.024211834
424.05,0.024415976
425.02,0.024647114
425.98,0.024905416
426.94,0.025178984
427.91,0.025482796
428.87,0.025836378
429.84,0.026196416
430.8,0.026548156
431.77,0.026893469
432.73,0.0272448
433.69,0.027553121
434.66,0.027800765
435.62,0.028018226
436.59,0.028245219
437.55,0.028514792
438.52,0.028844961
439.48,0.029190275
440.44,0.029570773
441.41,0.030002331
442.37,0.030472616
443.34,0.030936841
444.3,0.031344108
445.26,0.031692127
446.23,0.031968938
447.19,0.032205004
448.16,0.032461986
449.12,0.032838726
450.09,0.033336763
451.05,0.033876283
452.01,0.034389142
452.98,0.034830505
453.94,0.035180741
454.91,0.035515187
455.87,0.035872536
456.84,0.036239504
457.8,0.036594092
458.76,0.036931885
459.73,0.037273567
460.69,0.037658092
461.66,0.038058346
462.62,0.038450583
463.59,0.038831098
464.55,0.039199223
465.51,0.039564504
466.48,0.039920682
467.44,0.040258369
468.41,0.04058979
469.37,0.040937205
470.33,0.041324175
471.3,0.041716831
472.26,0.042099549
473.23,0.042498135
474.19,0.042926855
475.16,0.043386618
476.12,0.043759357
477.08,0.044018558
478.05,0.044222917
479.01,0.044423362
479.98,0.044672344
480.94,0.045006826
481.91,0.045382962
482.87,0.045712341
483.83,0.046007869
484.8,0.046288709
485.76,0.046572348
486.73,0.046829026
487.69,0.047023471
488.66,0.047142671
489.62,0.047209547
490.58,0.047274445
491.55,0.04739647
492.51,0.047574875
493.48,0.047778177
494.44,0.048023075
495.4,0.048281197
496.37,0.048497101
497.33,0.048579717
498.3,0.048601711
499.26,0.048558237
500.23,0.048434226
501.19,0.048243839
502.15,0.048050268
503.12,0.047902723
504.08,0.047735015
505.05,0.047537944
506.01,0.047338173
506.98,0.047163969
507.94,0.047004916
508.9,0.046766166
509.87,0.046466625
510.83,0.046175239
511.8,0.045927165
512.76,0.045714083
513.73,0.045467593
514.69,0.045168383
515.65,0.044769544
516.62,0.044301228
517.58,0.043838737
518.55,0.043473233
519.51,0.043147806
520.47,0.042731188
521.44,0.042277958
522.4,0.041812497
523.37,0.041348543
524.33,0.040882653
525.3,0.040433737
526.26,0.039999705
527.22,0.039559878
528.19,0.039104778
529.15,0.038635758
530.12,0.038171711
531.08,0.037705938
532.05,0.037257275
533.01,0.036839921
533.97,0.036449681
534.94,0.036072
535.9,0.035677101
536.87,0.035277494
537.83,0.034858964
538.8,0.034407138
539.76,0.033922203
540.72,0.033450514
541.69,0.033031724
542.65,0.032629489
543.62,0.03225603
544.58,0.031927618
