RamanShift,MW0
99.1,0.000850501
100.07,0.000852985
101.03,0.000866277
102,0.000885935
102.96,0.000905614
103.93,0.000927886
104.89,0.000957801
105.85,0.00098161
106.82,0.001006627
107.78,0.001033766
108.75,0.001058801
109.71,0.00106908
110.68,0.001067321
111.64,0.001060137
112.6,0.001051112
113.57,0.001045264
114.53,0.001053381
115.5,0.00107428
116.46,0.001095152
117.43,0.001113212
118.39,0.001127275
119.35,0.00114219
120.32,0.001163503
121.28,0.001187004
122.25,0.001208149
123.21,0.001220918
124.17,0.001228236
125.14,0.001236787
126.1,0.001242179
127.07,0.001241296
128.03,0.001231571
129,0.0012292
129.96,0.00123656
130.92,0.001250326
131.89,0.001266735
132.85,0.001279319
133.82,0.001284118
134.78,0.001286349
135.75,0.001289116
136.71,0.001294475
137.67,0.001302427
138.64,0.001317526
139.6,0.001339294
140.57,0.001366241
141.53,0.001394183
142.5,0.001408709
143.46,0.001400749
144.42,0.001383661
145.39,0.00136458
146.35,0.00134769
147.32,0.001335045
148.28,0.001331914
149.25,0.001341069
150.21,0.001360313
151.17,0.00138391
152.14,0.001397363
153.1,0.00140082
154.07,0.001396358
155.03,0.00138602
155.99,0.001372902
156.96,0.001365203
157.92,0.001362308
158.89,0.001360263
159.85,0.001355907
160.82,0.0013524
161.78,0.001351586
162.74,0.001347703
163.71,0.001341335
164.67,0.001334116
165.64,0.001329573
166.6,0.001329176
167.57,0.001336286
168.53,0.001352165
169.49,0.001377016
170.46,0.00140608
171.42,0.001430921
172.39,0.001446052
173.35,0.001447781
174.32,0.001434026
175.28,0.001409083
176.24,0.00138993
177.21,0.001380118
178.17,0.001378632
179.14,0.001381401
180.1,0.001379728
181.06,0.001379103
182.03,0.001382658
182.99,0.001389405
183.96,0.001395127
184.92,0.001391694
185.89,0.001385504
186.85,0.001380908
187.81,0.00137987
188.78,0.001381926
189.74,0.001377122
190.71,0.001370808
191.67,0.001368048
192.64,0.0013715
193.6,0.001377796
194.56,0.001382137
195.53,0.001392251
196.49,0.001408528
197.46,0.001427944
198.42,0.001440049
199.39,0.001447607
200.35,0.001457256
201.31,0.001468661
202.28,0.001480962
203.24,0.001495479
204.21,0.001508384
205.17,0.001511643
206.13,0.00150645
207.1,0.001496937
208.06,0.001495228
209.03,0.001509196
209.99,0.001533867
210.96,0.001563479
211.92,0.001591355
212.88,0.001609327
213.85,0.0016267
214.81,0.001647964
215.78,0.001673436
216.74,0.001701833
217.71,0.001736879
218.67,0.001773869
219.63,0.001804005
220.6,0.00182785
221.56,0.001849984
222.53,0.001878302
223.49,0.001898113
224.46,0.001909194
225.42,0.001913512
226.38,0.001915915
227.35,0.001919854
228.31,0.001933396
229.28,0.001960713
230.24,0.002000265
231.2,0.002046771
232.17,0.002089455
233.13,0.002120973
234.1,0.002137848
235.06,0.002142733
236.03,0.002145393
236.99,0.002161165
237.95,0.002179934
238.92,0.002208834
239.88,0.002249444
240.85,0.002300252
241.81,0.002347358
242.78,0.002398771
243.74,0.002455285
244.7,0.002510277
245.67,0.002553172
246.63,0.002579948
247.6,0.00261752
248.56,0.002675958
249.53,0.002758087
