RamanShift,NBS2
49.85,-3.32601E-05
50.81,-1.89587E-05
51.78,-5.50528E-06
52.74,7.05766E-06
53.71,2.17275E-05
54.67,4.2147E-05
55.64,7.51439E-05
56.6,0.000106124
57.56,0.000133716
58.53,0.000157196
59.49,0.000175888
60.46,0.000182887
61.42,0.000186516
62.38,0.000184877
63.35,0.000179261
64.31,0.000175297
65.28,0.00018452
66.24,0.000199765
67.21,0.000219189
68.17,0.000241303
69.13,0.000266969
70.1,0.000294475
71.06,0.000322282
72.03,0.000346866
72.99,0.000363299
73.96,0.000368734
74.92,0.000375441
75.88,0.000379429
76.85,0.000380986
77.81,0.000385422
78.78,0.000396938
79.74,0.000410089
80.71,0.000426065
81.67,0.000444839
82.63,0.000461882
83.6,0.000469843
84.56,0.000472293
85.53,0.000472146
86.49,0.000472101
87.45,0.000479626
88.42,0.000500655
89.38,0.000530714
90.35,0.000563669
91.31,0.000588995
92.28,0.000604989
93.24,0.000613625
94.2,0.00061359
95.17,0.000606944
96.13,0.000603827
97.1,0.000599591
98.06,0.000597535
99.03,0.000598158
99.99,0.000600695
100.95,0.000606576
101.92,0.000624756
102.88,0.000647708
103.85,0.000671633
104.81,0.000693286
105.78,0.000711693
106.74,0.000723532
107.7,0.000728676
108.67,0.000727809
109.63,0.000722301
110.6,0.000709675
111.56,0.000704994
112.52,0.000713248
113.49,0.000733844
114.45,0.000752015
115.42,0.000763368
116.38,0.000770278
117.35,0.000774918
118.31,0.00077846
119.27,0.000780217
120.24,0.00078304
121.2,0.000791954
122.17,0.000808649
123.13,0.0008317
124.1,0.000848391
125.06,0.000851566
126.02,0.000844895
126.99,0.000833752
127.95,0.000826269
128.92,0.000827435
129.88,0.000829946
130.85,0.00083128
131.81,0.000830717
132.77,0.000832221
133.74,0.000840649
134.7,0.000850261
135.67,0.000860004
136.63,0.000868573
137.59,0.000872603
138.56,0.000876008
139.52,0.000877791
140.49,0.000876214
141.45,0.000868759
142.42,0.000859471
143.38,0.000849926
144.34,0.000838371
145.31,0.000825116
146.27,0.000811821
147.24,0.000808058
148.2,0.000811741
149.17,0.000819655
150.13,0.000829334
151.09,0.000838051
152.06,0.000847324
153.02,0.000850213
153.99,0.000847297
154.95,0.000839704
155.92,0.000830058
156.88,0.000812444
157.84,0.000793692
158.81,0.00077762
159.77,0.000766688
160.74,0.000760752
161.7,0.000754965
162.66,0.000746811
163.63,0.000735478
164.59,0.000722218
165.56,0.000711674
166.52,0.000707518
167.49,0.000708893
168.45,0.000713918
169.41,0.000719626
170.38,0.00071976
171.34,0.000709569
172.31,0.000694293
173.27,0.000677468
174.24,0.000662122
175.2,0.0006467
176.16,0.000634444
177.13,0.000621555
178.09,0.000606005
179.06,0.000586311
180.02,0.000570573
180.99,0.000561549
181.95,0.000556566
182.91,0.000552215
183.88,0.00054276
184.84,0.000521103
185.81,0.000497623
186.77,0.000480204
187.74,0.000472622
188.7,0.000471497
189.66,0.000463344
190.63,0.000449722
191.59,0.000430851
192.56,0.000409274
193.52,0.000391833
194.48,0.000383942
195.45,0.000373473
196.41,0.000356288
197.38,0.000332966
198.34,0.000313737
199.31,0.000307224
200.27,0.000306997
201.23,0.000309522
202.2,0.000311846
203.16,0.000312968
204.13,0.000313386
205.09,0.000310163
206.06,0.000301572
207.02,0.000287935
207.98,0.000276513
208.95,0.000271823
209.91,0.000266269
210.88,0.000256365
211.84,0.000240974
212.81,0.000227382
213.77,0.000218674
214.73,0.000212141
215.7,0.000206807
216.66,0.000202409
217.63,0.000197944
218.59,0.000189137
219.55,0.000177515
220.52,0.000164648
221.48,0.0001532
222.45,0.000143773
223.41,0.000131719
224.38,0.000112851
225.34,9.03629E-05
226.3,7.06457E-05
227.27,7.04305E-05
228.23,6.96343E-05
229.2,6.33853E-05
230.16,5.64677E-05
231.13,5.67091E-05
232.09,6.30807E-05
233.05,6.30636E-05
234.02,5.65339E-05
234.98,4.39552E-05
235.95,2.55137E-05
236.91,7.73527E-06
237.88,5.01818E-08
238.84,1.43599E-06
239.8,1.02207E-05
240.77,2.22111E-05
241.73,2.90574E-05
242.7,3.22277E-05
243.66,3.79578E-05
244.62,4.693E-05
245.59,5.60126E-05
246.55,5.52424E-05
247.52,5.15516E-05
248.48,4.716E-05
249.45,4.17314E-05
250.41,3.55747E-05
251.37,3.56332E-05
252.34,4.3353E-05
253.3,5.48476E-05
254.27,6.78266E-05
255.23,7.92577E-05
256.2,8.1612E-05
257.16,7.0605E-05
258.12,5.60143E-05
259.09,4.81937E-05
260.05,5.6686E-05
261.02,8.84487E-05
261.98,0.000118096
262.95,0.000132811
263.91,0.000133394
264.87,0.000126792
265.84,0.000120476
266.8,0.000116255
267.77,0.000115273
268.73,0.000116472
269.69,0.000118416
270.66,0.000118895
271.62,0.000129448
