RamanShift,SLS1
49.8496,-9.4362E-05
50.8138,-8.374E-05
51.7781,-7.50601E-05
52.7423,-6.82754E-05
53.7065,-5.98991E-05
54.6708,-4.59065E-05
55.635,-1.96371E-05
56.5992,4.74281E-06
57.5635,2.55845E-05
58.5277,4.25057E-05
59.4919,5.56359E-05
60.4562,6.00365E-05
61.4204,6.09096E-05
62.3846,5.57621E-05
63.3489,4.56109E-05
64.3131,3.63053E-05
65.2773,3.86529E-05
66.2416,4.65848E-05
67.2058,5.87543E-05
68.17,7.42231E-05
69.1343,9.35492E-05
70.0985,0.000113564
71.0627,0.000133125
72.027,0.000149425
72.9912,0.000159046
73.9554,0.00015992
74.9197,0.000162166
75.8839,0.000162395
76.8481,0.000160535
77.8124,0.000160332
78.7766,0.000163853
79.7408,0.000168848
80.7051,0.000176867
81.6693,0.000188273
82.6335,0.000198459
83.5978,0.000200201
84.562,0.000197041
85.5263,0.000191608
86.4905,0.000186835
87.4547,0.000189039
88.4189,0.000201604
89.3832,0.000220972
90.3474,0.000242654
91.3117,0.00025982
92.2759,0.000272494
93.2401,0.000277567
94.2044,0.000272921
95.1686,0.000260494
96.1328,0.000251669
97.097,0.0002423
98.0613,0.000235048
99.0255,0.000230041
99.9898,0.000226849
100.954,0.000226421
101.918,0.000236033
102.882,0.000250064
103.847,0.00026602
104.811,0.00028213
105.775,0.000295951
106.739,0.000301769
107.704,0.000299776
108.668,0.000291207
109.632,0.000279322
110.596,0.000262122
111.561,0.000251277
112.525,0.000250247
113.489,0.000258809
114.453,0.000267199
115.418,0.000273059
116.382,0.00027534
117.346,0.000274782
118.31,0.000272516
119.274,0.000268306
120.239,0.000264733
121.203,0.000267026
122.167,0.000276786
123.131,0.000293248
124.096,0.000303978
125.06,0.000301666
126.024,0.000289835
126.988,0.000273532
127.953,0.00026091
128.917,0.000256591
129.881,0.000254004
130.845,0.00025086
131.809,0.000246579
132.774,0.00024396
133.738,0.000247037
134.702,0.000251474
135.666,0.000256669
136.631,0.000261699
137.595,0.000261623
138.559,0.000257675
139.523,0.000252591
140.488,0.000246818
141.452,0.00024006
142.416,0.000232364
143.38,0.000220337
144.345,0.000203805
145.309,0.000184929
146.273,0.000167935
147.237,0.00016195
148.201,0.000164433
149.166,0.000172721
150.13,0.00018381
151.094,0.000193717
152.058,0.000203096
153.023,0.00020642
153.987,0.000202854
154.951,0.000193965
155.915,0.000185429
156.88,0.000176227
157.844,0.000166025
158.808,0.0001557
159.772,0.000146503
160.737,0.000140993
161.701,0.000139356
162.665,0.000136476
163.629,0.000129792
164.593,0.000118312
165.558,0.000106744
166.522,0.000102445
167.486,0.000104478
168.45,0.000110702
169.415,0.000117716
170.379,0.000118654
171.343,0.000110909
172.307,9.92424E-05
173.272,8.71014E-05
174.236,7.80052E-05
175.2,7.27916E-05
176.164,7.06594E-05
177.128,6.72388E-05
178.093,6.0485E-05
179.057,5.03322E-05
180.021,4.83659E-05
180.985,5.32073E-05
181.95,5.93023E-05
182.914,6.19087E-05
183.878,5.6585E-05
184.842,4.36002E-05
185.806,3.22326E-05
186.771,2.70169E-05
187.735,2.9326E-05
188.699,3.49839E-05
189.663,3.52531E-05
190.628,3.08081E-05
191.592,2.28989E-05
192.556,1.47978E-05
193.52,1.54557E-05
194.485,2.40369E-05
195.449,2.5371E-05
196.413,1.79226E-05
197.377,5.11771E-06
198.341,6.11436E-07
199.306,9.68216E-06
200.27,2.31494E-05
201.234,3.7364E-05
202.198,4.98817E-05
203.163,6.03099E-05
204.127,6.93147E-05
205.091,7.82793E-05
206.055,8.77936E-05
207.02,9.7631E-05
207.984,0.000104544
208.948,0.000106858
209.912,0.000110959
210.877,0.000119499
211.841,0.000132868
212.805,0.000144439
213.769,0.000150528
214.733,0.00015677
215.698,0.000166601
216.662,0.000182189
217.626,0.000199545
218.59,0.000210306
219.555,0.000216718
220.519,0.000222057
221.483,0.000230223
222.447,0.000242315
223.412,0.000254206
224.376,0.000262676
225.34,0.000267582
226.304,0.00027072
227.268,0.00028143
228.233,0.000298194
229.197,0.000319283
230.161,0.000345264
231.125,0.000377006
232.09,0.000408174
233.054,0.000431046
234.018,0.000446701
234.982,0.000455435
235.947,0.00045804
236.911,0.000462198
237.875,0.000475904
238.839,0.000495365
239.804,0.000518201
240.768,0.000542613
241.732,0.000571731
242.696,0.000606596
243.661,0.000644446
244.625,0.000682176
245.589,0.000716047
246.553,0.000739811
247.517,0.000762719
248.482,0.000783578
249.446,0.000800145
250.41,0.000811152
251.374,0.000830522
252.339,0.000862082
253.303,0.000900103
254.267,0.000941157
255.231,0.00098185
256.196,0.001014094
257.16,0.00103552
258.124,0.0010541
259.088,0.001076705
260.053,0.001109718
261.017,0.001158572
261.981,0.001212575
262.945,0.001258995
263.909,0.001293451
264.874,0.001315234
265.838,0.001326984
266.802,0.001345637
267.766,0.00137491
268.731,0.001411423
269.695,0.001450041
270.659,0.001487788
271.623,0.001535301
272.587,0.001590277
273.552,0.001646155
274.516,0.001695665
275.48,0.001733141
276.445,0.001753598
277.409,0.001764691
278.373,0.001781367
279.337,0.001818411
280.301,0.001887589
281.266,0.001970191
282.23,0.002052607
283.194,0.002125642
284.158,0.002181841
285.123,0.002215965
286.087,0.002256506
287.051,0.002312309
288.015,0.002377709
288.979,0.002445711
289.944,0.002509029
290.908,0.00256232
291.872,0.002610231
292.836,0.002657846
293.801,0.002711275
294.765,0.002777508
295.729,0.002859588
296.693,0.00294061
297.658,0.003015186
298.622,0.003084249
299.586,0.003154141
300.55,0.003227183
301.514,0.003294631
302.479,0.00335979
303.443,0.003421041
304.407,0.003473955
305.372,0.003508978
306.336,0.003553787
307.3,0.003620619
308.264,0.003704648
309.228,0.003794756
310.193,0.003884762
311.157,0.003977154
312.121,0.004063086
313.085,0.004141622
314.05,0.004215799
315.014,0.004297316
315.978,0.004384933
316.942,0.004462797
317.906,0.004528409
318.871,0.004581917
319.835,0.004623954
320.799,0.004663891
321.763,0.004720095
322.728,0.004792982
323.692,0.004877205
324.656,0.004961854
325.62,0.005042222
326.585,0.005116124
327.549,0.00518088
328.513,0.005238843
329.477,0.005296637
330.442,0.005367464
331.406,0.005452289
332.37,0.005545608
333.334,0.005640344
334.298,0.005727732
335.263,0.005797924
336.227,0.00586585
337.191,0.005945802
338.155,0.006038592
339.12,0.006141571
340.084,0.006253771
341.048,0.006365251
342.012,0.006465255
342.976,0.006549076
343.941,0.006614382
344.905,0.006661464
345.869,0.006719803
346.834,0.006809252
347.798,0.00692019
