Wavenumber,t0,60s,180s,5m,8m,10m,20m,30m,60m,90m
649.8933,2.654796491,2.413113514,2.237358735,2.166053987,2.077171271,2.045942148,1.946506401,1.873724026,1.662600349,1.578471698
650.3754,2.650179108,2.409116856,2.233830739,2.162407575,2.07394079,2.042806848,1.943369894,1.870635082,1.659491029,1.575255052
650.8575,2.645272932,2.404725056,2.229880595,2.158395219,2.070228652,2.039133656,1.939813134,1.867092007,1.655845969,1.571512792
651.3397,2.640667134,2.400443353,2.22597908,2.154467839,2.066463512,2.035349492,1.93619544,1.863420048,1.651939821,1.567489657
651.8218,2.636665402,2.396556038,2.222393294,2.150854321,2.062879904,2.031696537,1.932701498,1.85979794,1.647927429,1.563315409
652.3039,2.633099757,2.392943963,2.219014001,2.147440221,2.059384413,2.028087971,1.929211954,1.856150299,1.643761324,1.55892982
652.786,2.62943233,2.38917881,2.215432444,2.143834926,2.055619935,2.024179779,1.925391358,1.852189568,1.639236363,1.554142355
653.2681,2.625067331,2.384759863,2.211179256,2.139601223,2.05118233,2.019577683,1.920873481,1.847589892,1.634129889,1.548754267
653.7502,2.619693624,2.379439029,2.206007775,2.134523247,2.045883441,2.014101514,1.915491855,1.842188952,1.628356001,1.542706973
654.2324,2.613483327,2.373355059,2.200045561,2.128737368,2.039869684,2.007906635,1.909393476,1.836096175,1.622043549,1.536136254
654.7145,2.6069801,2.366970209,2.193718988,2.122655446,2.033561766,2.001414741,1.902966557,1.829646537,1.615478485,1.529327914
655.1966,2.600807039,2.36080329,2.187522091,2.116746216,2.027439356,1.995093875,1.896641404,1.82322608,1.60897276,1.522582539
655.6787,2.595301762,2.355141609,2.181742407,2.111259809,2.021772101,1.989214288,1.890671802,1.817077981,1.602697605,1.516067667
656.1608,2.590334352,2.349891658,2.176320739,2.106114674,2.016498387,1.983715925,1.885015661,1.811186432,1.596621375,1.509762493
656.6429,2.585401696,2.344652266,2.170911756,2.10096063,2.011284301,1.978269784,1.879393442,1.805321633,1.590547971,1.503490169
657.1251,2.579912969,2.338966454,2.165117272,2.095395415,2.005726363,1.972500517,1.873487914,1.799203931,1.584260949,1.497048117
657.6072,2.573547931,2.332616291,2.158746301,2.08922372,1.999609253,1.966219471,1.867144544,1.792689243,1.577664804,1.490343805
658.0893,2.566445602,2.325761645,2.151948953,2.082577807,1.993023736,1.959553285,1.860482686,1.785880313,1.570858997,1.483461551
658.5714,2.559129781,2.318868541,2.145151606,2.075853771,1.986323602,1.952887099,1.853843442,1.779079894,1.564091618,1.476625835
659.0535,2.552226877,2.312438446,2.138815167,2.069492937,1.979926905,1.946644567,1.84759744,1.772630864,1.557626582,1.470083588
659.5356,2.546119188,2.306739814,2.133179253,2.063726247,1.974074143,1.941060689,1.841938159,1.76672898,1.551598953,1.463971686
660.0178,2.540760376,2.301651993,2.128122647,2.058465983,1.968710988,1.936047994,1.836773256,1.761316488,1.545953913,1.458250162
660.4999,2.535716837,2.296736103,2.123233067,2.053355113,1.963532016,1.931252022,1.831781102,1.756124071,1.540481238,1.452733409
660.982,2.530455669,2.291495202,2.118041148,2.047994113,1.958172836,1.926258257,1.826596726,1.750831952,1.534959396,1.44720023
661.4641,2.524648358,2.285660835,2.112281903,2.042176026,1.952440654,1.920822561,1.821008429,1.74525106,1.529282144,1.441525244
661.9462,2.518370207,2.279346869,2.106053291,2.036022834,1.94643286,1.915008905,1.81508594,1.73943368,1.523534252,1.435746231
662.4283,2.512044889,2.272998215,2.099764776,2.029928577,1.94049397,1.909152819,1.809137695,1.733635147,1.51794403,1.430045513
662.9105,2.506214409,2.267152537,2.093927302,2.024357194,1.935044686,1.903678608,1.803548142,1.728172196,1.512769741,1.424652498
663.3926,2.501235414,2.262164255,2.088891839,2.019608155,1.930355321,1.898887205,1.798587398,1.723246664,1.508160012,1.419730345
663.8747,2.497111214,2.258049205,2.084702079,2.015685572,1.926439788,1.89481843,1.79429755,1.718850041,1.504099584,1.415313
664.3568,2.493529847,2.254521588,2.081116293,2.012332463,1.923069514,1.891273836,1.790510248,1.714793864,1.500430224,1.411311766
664.8389,2.490035365,2.251141018,2.07773841,2.009144507,1.919881434,1.88791202,1.786942809,1.710821582,1.49692136,1.407551438
665.321,2.486211543,2.247501043,2.074180814,2.005729722,1.916507185,1.884373302,1.783284284,1.70673136,1.493334508,1.403824508
665.8032,2.481767933,2.243293995,2.070127777,2.001750946,1.91260689,1.880332596,1.77924885,1.702412553,1.489432881,1.399890618
666.2853,2.476524142,2.23833286,2.065369281,1.996977237,1.907928787,1.875558818,1.774603452,1.697790992,1.485006252,1.395508862
666.7674,2.470364321,2.232515083,2.059775653,1.991303746,1.902364224,1.869956662,1.769215545,1.692727458,1.479922948,1.390505129
667.2495,2.463232203,2.225842925,2.053343367,1.984817504,1.89602848,1.8636482,1.763130985,1.686963576,1.474208963,1.384881063
667.7316,2.455280044,2.218517729,2.046283852,1.977857044,1.889294557,1.856980055,1.756629942,1.68037776,1.468134429,1.378891257
668.2137,2.447185556,2.211124666,2.039182755,1.971023362,1.882750117,1.850479022,1.750243227,1.673472775,1.462216999,1.373050922
668.6959,2.43991111,2.204426116,2.032782889,1.964936643,1.876930481,1.844612491,1.744506679,1.667242604,1.456968678,1.36786213
669.178,2.433821626,2.198695812,2.027331621,1.959709959,1.871885339,1.839426157,1.73949254,1.662109764,1.452414331,1.36334678
669.6601,2.428519083,2.193628351,2.022513926,1.95497257,1.867230426,1.83461517,1.734836463,1.657625597,1.448125593,1.359075621
670.1422,2.423695656,2.189017867,2.018088778,1.950498331,1.862768307,1.830043102,1.73033806,1.653332324,1.443829509,1.354766684
670.6243,2.419412578,2.184942783,2.014097055,1.946366051,1.858613601,1.825838548,1.726107262,1.649165501,1.439592763,1.350464317
671.1064,2.415753427,2.181476248,2.010583154,1.942669613,1.854889538,1.82212162,1.722286666,1.645216322,1.435563417,1.346315254
671.5886,2.412531189,2.178436525,2.007368068,1.939278127,1.851485475,1.81877286,1.718802775,1.641476274,1.431747124,1.342350156
672.0707,2.409289918,2.17539454,2.004052203,1.935840042,1.848052261,1.815448906,1.715367254,1.637782429,1.427976607,1.338447474
672.5528,2.405516573,2.171871448,2.000207773,1.931970912,1.844193042,1.81175809,1.711632718,1.633898907,1.424028075,1.334434742
673.0349,2.400939737,2.167607089,1.995622646,1.927485708,1.839708398,1.807494133,1.70740192,1.629677978,1.419780026,1.330222715
673.517,2.395678569,2.162701003,1.990415927,1.922513951,1.834701682,1.802743202,1.702738306,1.62515855,1.415289538,1.325861764
673.9991,2.390184877,2.1575521,1.984995668,1.917431178,1.829538611,1.797838869,1.697922043,1.620550971,1.410760057,1.321518881
674.4813,2.384980805,2.152621883,1.97983053,1.912651301,1.824636574,1.793166272,1.693286068,1.616122735,1.406418762,1.317372556
674.9634,2.380365077,2.148181822,1.975210166,1.908392927,1.820238059,1.788945398,1.689022605,1.61204224,1.402379245,1.313502178
675.4455,2.376253289,2.144163295,1.971107091,1.904569711,1.816297349,1.785125332,1.685085795,1.60827605,1.398587817,1.30984095
675.9276,2.37225404,2.140225455,1.967231652,1.900856826,1.812528896,1.781435821,1.681248238,1.604629017,1.394854598,1.306216953
676.4097,2.367898971,2.135964867,1.963215261,1.896875994,1.808583549,1.777557657,1.677239816,1.600844589,1.390976706,1.30245115
676.8918,2.362925768,2.131163598,1.958838742,1.892422999,1.804254598,1.773311325,1.672927355,1.596764702,1.386860897,1.298459224
677.374,2.357446971,2.125929484,1.95415495,1.887580761,1.799593722,1.768774506,1.66840194,1.592427049,1.382585722,1.294310708
677.8561,2.35186722,2.120634289,1.949443673,1.882664512,1.794869906,1.764220715,1.663927408,1.588037113,1.378356322,1.290182451
678.3382,2.346654873,2.115701809,1.945038259,1.878036769,1.79040315,1.759956758,1.659787696,1.583853268,1.374397053,1.286262796
678.8203,2.342075555,2.111374861,1.94111842,1.873905174,1.786377637,1.756144525,1.65612917,1.58003662,1.370824894,1.282655225
679.3024,2.338044861,2.107590101,1.93760311,1.870216959,1.782747652,1.752706987,1.652872053,1.576568321,1.367599157,1.279326338
679.7845,2.334180492,2.104016485,1.934187874,1.866694584,1.779265411,1.749371283,1.649755019,1.573253831,1.364536742,1.276133783
680.2667,2.330038915,2.100258118,1.930528794,1.863017334,1.775642051,1.745827995,1.646485966,1.569849365,1.361432507,1.272915494
680.7488,2.325354506,2.096082741,1.926428538,1.859000181,1.771721218,1.741912622,1.642897169,1.566192605,1.358163821,1.269588797
681.2309,2.320210013,2.09153937,1.921962515,1.854704803,1.767565187,1.73769436,1.639035113,1.562298748,1.354754984,1.266190376
681.713,2.314969532,2.086921345,1.917418265,1.85038955,1.763415781,1.733428445,1.635118405,1.558342881,1.35134106,1.262853277
682.1951,2.310063356,2.082569512,1.913131249,1.846346357,1.759543312,1.729402099,1.631401459,1.55455359,1.348080286,1.25971821
682.6772,2.305750489,2.078678426,1.909293866,1.842724615,1.756080284,1.725775256,1.628021846,1.551083467,1.345047822,1.256850878
