Wavenumber,t0,60s,180s,5m,8m,10m,20m,30m,60m,90m
649.8933,1,0.946768179,0.85038903,0.817552152,0.775005526,0.763494718,0.720209972,0.688277962,0.601569084,0.567536048
650.3754,0.998260739,0.945200118,0.849048088,0.816175855,0.773800213,0.762324701,0.719049461,0.687143295,0.600444057,0.56637951
650.8575,0.996412697,0.943477026,0.847546693,0.814661438,0.772415192,0.760953958,0.717733455,0.685841812,0.599125186,0.565033989
651.3397,0.9946778,0.94179713,0.846063781,0.813179094,0.771010395,0.759541802,0.716394903,0.684492985,0.597711847,0.563587479
651.8218,0.993170441,0.940271969,0.844700874,0.811815213,0.769673328,0.75817861,0.71510214,0.683162471,0.596260066,0.562086637
652.3039,0.991827346,0.938854797,0.843416451,0.8105266,0.768369138,0.756831983,0.713811004,0.681822577,0.594752668,0.560509808
652.786,0.990445911,0.937377566,0.842055151,0.809165823,0.766964588,0.755373543,0.712397378,0.680367676,0.593115428,0.558788486
653.2681,0.988801718,0.935643823,0.840438573,0.80756786,0.765308891,0.753656155,0.710725758,0.67867807,0.591267782,0.556851211
653.7502,0.986777568,0.933556231,0.838472965,0.805651237,0.763331842,0.751612585,0.708734549,0.676694134,0.589178649,0.554676919
654.2324,0.984438294,0.931169228,0.83620681,0.803467423,0.761088072,0.74930081,0.70647814,0.674456065,0.586894651,0.552314432
654.7145,0.981988679,0.928664177,0.833802168,0.801171872,0.758734548,0.746878197,0.704100172,0.672086909,0.584519252,0.549866508
655.1966,0.979663431,0.926244629,0.831446813,0.798941501,0.756450239,0.744519407,0.701759857,0.669728473,0.582165323,0.547441223
655.6787,0.977589722,0.924023308,0.829250035,0.79687072,0.754335751,0.742325291,0.699551096,0.667470082,0.57989482,0.545098815
656.1608,0.975718614,0.921963527,0.827189334,0.794928748,0.752368096,0.740273439,0.697458316,0.66530593,0.577696293,0.542831803
656.6429,0.973860597,0.919907888,0.825133455,0.792983413,0.750422687,0.738241075,0.695378088,0.663151604,0.575498788,0.540576603
