Wavenumber,t0,60s,120s,180s,5m,10m,15m,20m,25m,30m,40m,50m,60m,90m,2h
649.8933,1.552785082,1.484666871,1.463456002,1.45314484,1.444373951,1.438121796,1.42980623,1.439669759,1.448199296,1.444987192,1.445829006,1.435147259,1.436536682,1.37242406,1.335741438
650.3754,1.550667062,1.482568578,1.461082097,1.450962497,1.442124865,1.435887517,1.427560343,1.437345751,1.44581016,1.442769427,1.443483632,1.433018803,1.434203424,1.370132327,1.333356286
650.8575,1.547929947,1.479861298,1.458133606,1.448180782,1.439340232,1.433068889,1.424733337,1.434440073,1.442791629,1.439928083,1.440521809,1.430316775,1.431295335,1.367219756,1.330396061
651.3397,1.544835596,1.476791147,1.454884503,1.445050607,1.436235997,1.429886116,1.421524086,1.431172254,1.439350824,1.436637741,1.437132396,1.427195392,1.427937197,1.363864169,1.32700653
651.8218,1.541534691,1.473496258,1.4514995,1.44170908,1.432920134,1.426451449,1.418029355,1.427664075,1.435610842,1.432989694,1.433416192,1.423712754,1.424190618,1.360145277,1.323242103
652.3039,1.537991115,1.469941548,1.447965007,1.43811935,1.429337037,1.422715477,1.414195148,1.423870136,1.431545458,1.428942835,1.42932704,1.419789636,1.420011742,1.356013515,1.319027901
652.786,1.534023708,1.465944487,1.44410979,1.434104207,1.42530909,1.418498813,1.409856272,1.419615774,1.427001605,1.424350877,1.424702606,1.415255974,1.415272653,1.351333985,1.314222154
653.2681,1.529436077,1.461309935,1.439727823,1.429470724,1.420654357,1.413618847,1.404859828,1.414705499,1.421818187,1.419075544,1.419378964,1.409962828,1.409847527,1.345985586,1.30870805
653.7502,1.524161064,1.455966634,1.434707669,1.424150619,1.415315073,1.408015426,1.39917267,1.409055451,1.415937938,1.413096016,1.413314733,1.403894354,1.403717046,1.339962698,1.302492577
654.2324,1.518331855,1.450034079,1.429110211,1.418257696,1.409410008,1.401805098,1.392932728,1.402759104,1.40947432,1.406563914,1.406640949,1.397206886,1.397002337,1.333403283,1.295724995
654.7145,1.512234013,1.443783601,1.423137668,1.412054248,1.40319398,1.39525372,1.386396079,1.396055214,1.402676202,1.399749921,1.399623926,1.390181399,1.389936778,1.326547501,1.288659893
655.1966,1.50615931,1.437512841,1.417020527,1.405819911,1.396928824,1.38864004,1.379822007,1.389219927,1.395816,1.392931123,1.392559689,1.383105739,1.382767843,1.319626314,1.281543374
655.6787,1.500266329,1.431396658,1.410893058,1.399711842,1.390757605,1.38213324,1.373348976,1.382438053,1.38906498,1.386269821,1.385638158,1.376154194,1.375657905,1.312770533,1.274518707
656.1608,1.494502585,1.425422443,1.404737321,1.393705656,1.384641993,1.37572419,1.366943841,1.375734163,1.382426887,1.379745194,1.378881084,1.369330461,1.368623671,1.305959206,1.267580899
656.6429,1.488651367,1.419414793,1.398410894,1.387620349,1.37840329,1.369251226,1.360439803,1.368990747,1.375762033,1.373191203,1.372163268,1.362501448,1.361565421,1.299065101,1.260614638
657.1251,1.482472258,1.413158833,1.391755045,1.381248362,1.371841747,1.36251885,1.353654026,1.362050236,1.368891128,1.366409777,1.365311233,1.355502897,1.354349497,1.291955364,1.253480647
657.6072,1.47584336,1.406539454,1.384723567,1.374488896,1.364870445,1.355420181,1.346503113,1.354825033,1.361715693,1.359288265,1.358225245,1.348250833,1.346915858,1.284580429,1.246116028
658.0893,1.468850454,1.399615307,1.377436054,1.367424326,1.357579003,1.348017522,1.339069392,1.347374426,1.354294066,1.351878988,1.350942969,1.340806522,1.339329766,1.27702512,1.238576192
658.5714,1.461746934,1.392596332,1.370143104,1.360286052,1.35020388,1.340512816,1.331564033,1.339877884,1.346813032,1.34436507,1.343620374,1.333347422,1.331765603,1.269473898,1.231015888
659.0535,1.454834166,1.385734674,1.363118693,1.353347209,1.34302419,1.333157419,1.324226542,1.33255173,1.339502191,1.33697608,1.336456401,1.326075289,1.324421243,1.262124002,1.223610835
659.5356,1.448305723,1.379195872,1.356523184,1.34678067,1.336214848,1.326118904,1.317208746,1.325534839,1.332515683,1.329872187,1.329570414,1.319115821,1.317420424,1.255088867,1.216474348
660.0178,1.442166684,1.372982119,1.350341355,1.340583183,1.329782333,1.319419827,1.310502626,1.318828278,1.325858322,1.323069939,1.322957108,1.312457401,1.310758446,1.248352143,1.209606927
660.4999,1.436254515,1.366945417,1.34440632,1.334587294,1.323576563,1.31293827,1.303972392,1.312310265,1.319402197,1.316463627,1.316492343,1.305969046,1.304312618,1.241787619,1.202915222
660.982,1.430347989,1.360898848,1.338498466,1.328567018,1.317392387,1.306507737,1.297435743,1.305817357,1.312971226,1.309902162,1.3100175,1.299491782,1.297925786,1.235246088,1.196276932
661.4641,1.424306583,1.354728398,1.332478629,1.322372241,1.311095379,1.300021346,1.290787895,1.299256614,1.306448201,1.303294783,1.303445043,1.292933183,1.291499275,1.228639663,1.189623665
661.9462,1.418158514,1.348476824,1.32636475,1.316010009,1.304700115,1.293507564,1.284058787,1.292655811,1.299849713,1.296670319,1.296811047,1.286323352,1.285044571,1.221998492,1.182981381
662.4283,1.412095663,1.342339811,1.320325888,1.309660782,1.298373954,1.287125368,1.277417355,1.286171449,1.29331973,1.290177726,1.290269889,1.279814927,1.278681234,1.215470758,1.17647987
662.9105,1.406380453,1.336573343,1.314603945,1.303591733,1.292363076,1.281087982,1.271091341,1.279998486,1.287061094,1.284002794,1.284022103,1.273603324,1.272561195,1.209253187,1.170292352
663.3926,1.401225647,1.33138407,1.309400054,1.298044018,1.286872089,1.275558142,1.265271601,1.274288081,1.281235435,1.278289141,1.278215168,1.267844348,1.266783653,1.203521555,1.164579069
663.8747,1.39670461,1.326841058,1.304792493,1.293137946,1.281987913,1.270582038,1.260042068,1.269077624,1.275897345,1.273069867,1.27289683,1.262593982,1.261350696,1.198371415,1.159423386
664.3568,1.392741718,1.322866471,1.300720378,1.288839916,1.27765602,1.266080718,1.255362646,1.264298211,1.270990625,1.268277167,1.268008735,1.257809976,1.256185575,1.193792548,1.154825804
664.8389,1.389128726,1.31925311,1.296993994,1.284972719,1.273698796,1.261879092,1.251088457,1.2598099,1.266389506,1.26377864,1.263430455,1.253372966,1.251187003,1.18966794,1.150685982
665.321,1.385568783,1.315694564,1.293324145,1.281244256,1.269845765,1.257751584,1.246990688,1.255440167,1.261946805,1.259405042,1.259019285,1.24911183,1.246304338,1.185749767,1.146786274
665.8032,1.381707476,1.311832894,1.289357489,1.277286015,1.265771929,1.253448449,1.242782256,1.251005803,1.257505175,1.254975385,1.254611299,1.244804745,1.241539667,1.181679833,1.142799206
666.2853,1.377216913,1.307330993,1.284762431,1.272746286,1.261163085,1.248731758,1.238157899,1.246311851,1.252894957,1.250287862,1.250020287,1.240199783,1.236876805,1.17708206,1.138358869
666.7674,1.371949236,1.302055661,1.279410136,1.267466283,1.255864291,1.243459182,1.232924623,1.241173502,1.247911169,1.245152408,1.245021846,1.235077758,1.232131451,1.171766874,1.133250111
667.2495,1.366101404,1.296226705,1.273531093,1.261641101,1.250021311,1.237680134,1.227133752,1.235487667,1.242362209,1.239469186,1.239427114,1.229365787,1.226874441,1.165952975,1.127605717
667.7316,1.360156502,1.290358831,1.267643351,1.255760643,1.244053082,1.231663694,1.221115672,1.229353696,1.236239514,1.233357253,1.233268452,1.223263512,1.220729341,1.160173823,1.121884447
668.2137,1.354554163,1.284883427,1.262156788,1.250231353,1.238373142,1.225783137,1.215294328,1.223173789,1.229939132,1.227234643,1.227007934,1.217246797,1.21402403,1.154869368,1.116557541
668.6959,1.349415723,1.279883812,1.25710891,1.245114471,1.233131574,1.220311839,1.209935955,1.217468725,1.224114009,1.221626699,1.221333095,1.211813691,1.207789651,1.150081511,1.111786238
669.178,1.34460743,1.275180742,1.252307283,1.240263133,1.228225263,1.215263228,1.205000456,1.212392335,1.219024786,1.216649809,1.216447652,1.207010143,1.202595815,1.145527682,1.107361876
669.6601,1.339984809,1.270613612,1.247614377,1.235568955,1.223504127,1.210489606,1.20028575,1.207687167,1.214401723,1.211999658,1.21195054,1.202469086,1.19806922,1.140918667,1.102948496
670.1422,1.335558019,1.266175844,1.243061176,1.231062825,1.21894819,1.205909334,1.195700954,1.203129419,1.2099526,1.207425318,1.207479423,1.197919579,1.193691946,1.136199793,1.098417306
670.6243,1.331439366,1.261972681,1.238771621,1.226844459,1.21464491,1.201561621,1.191308082,1.198708943,1.205617475,1.202927325,1.202983903,1.193373242,1.189288045,1.131532016,1.093870142
671.1064,1.327679642,1.258058937,1.234813119,1.222947456,1.210651514,1.197473857,1.187167544,1.19448289,1.201430066,1.198586827,1.198558409,1.188936759,1.184894064,1.127093156,1.089460755
671.5886,1.324167669,1.254351296,1.231109023,1.219267224,1.206902678,1.193582131,1.183228554,1.19043417,1.197369499,1.194410233,1.194239548,1.184638653,1.18056169,1.122925115,1.085232576
672.0707,1.320662468,1.250647491,1.227458743,1.215596205,1.203223485,1.189729611,1.179328056,1.186452216,1.193330875,1.190299841,1.189967371,1.180396003,1.176282049,1.11892774,1.081113721
672.5528,1.316924754,1.246752385,1.223662778,1.211737137,1.19943092,1.185760006,1.175296579,1.182397621,1.189191633,1.186125916,1.185641083,1.176096313,1.171996142,1.114962557,1.07699836
673.0349,1.312849556,1.24258814,1.219634152,1.207616318,1.195442923,1.181605107,1.171061416,1.178198275,1.18488862,1.181820656,1.181209223,1.171687294,1.167656459,1.110951896,1.072842066
673.517,1.308529993,1.238250134,1.215449512,1.203330753,1.191318879,1.177333123,1.166692602,1.173897979,1.180473215,1.177428371,1.176718477,1.167230742,1.163277096,1.106932549,1.068700747
673.9991,1.304191806,1.233940631,1.211288247,1.19907933,1.18721589,1.173099809,1.162360675,1.169631333,1.176088317,1.173084137,1.172295106,1.16286873,1.158940546,1.103012332,1.064690217
674.4813,1.300060738,1.229854222,1.207328115,1.195051722,1.183292677,1.169060384,1.158232968,1.165544689,1.171887527,1.168926763,1.16807598,1.158742801,1.154762191,1.099285264,1.060908318
674.9634,1.296239499,1.226068196,1.20363326,1.191317298,1.179609165,1.165275,1.154382723,1.161714963,1.167954338,1.165026188,1.16412476,1.15491211,1.150821913,1.095768208,1.057373021
675.4455,1.292659804,1.222508005,1.200133557,1.187800186,1.176096791,1.161681893,1.150755944,1.158103162,1.164253961,1.161338634,1.160400598,1.1513212,1.147119191,1.092385027,1.054007451
675.9276,1.289132029,1.218996051,1.196661035,1.184323719,1.172600073,1.158126919,1.147200268,1.154583767,1.160654736,1.157730629,1.156778823,1.147828527,1.143573097,1.089004402,1.050687307
676.4097,1.285462037,1.21535912,1.19305533,1.180716648,1.168964609,1.154461305,1.143563331,1.151014697,1.157007879,1.154063363,1.153123627,1.144288848,1.140063551,1.085524647,1.04730726
676.8918,1.281565175,1.211524857,1.189256647,1.176915566,1.165131013,1.150622213,1.139778308,1.147323845,1.153229363,1.150271701,1.149370817,1.140635088,1.13650545,1.081932988,1.043849838
677.374,1.27751368,1.207562877,1.185337828,1.172990925,1.16116677,1.146674092,1.135895986,1.143543793,1.149344877,1.14640049,1.145563365,1.136906331,1.132891483,1.07832089,1.040390918
677.8561,1.27349266,1.20363543,1.181463041,1.169111264,1.15723222,1.142769475,1.132057503,1.139794721,1.145478588,1.142579464,1.141827,1.133228804,1.129295269,1.074836536,1.037063786
678.3382,1.269693996,1.199911345,1.17778993,1.165441871,1.153492562,1.139066265,1.12840827,1.136206422,1.141774999,1.138952773,1.138301248,1.129738243,1.125829057,1.071606649,1.033982756
678.8203,1.266202904,1.196453657,1.174381009,1.162048319,1.150027156,1.135638044,1.125018322,1.132844596,1.138323491,1.135592492,1.135057195,1.126498027,1.122572206,1.068671596,1.031181276
679.3024,1.2629669,1.193211937,1.171183005,1.158873706,1.146809009,1.132447214,1.12185879,1.129682001,1.135117104,1.132475128,1.132067254,1.123479634,1.119535159,1.065971592,1.028601438
679.7845,1.259811599,1.190027772,1.168042622,1.155757079,1.143706934,1.129353597,1.118805111,1.126596854,1.132042376,1.129476822,1.129205697,1.120555253,1.116643255,1.063365608,1.026108959
680.2667,1.256563179,1.186755357,1.164821243,1.152544531,1.140589202,1.126210032,1.115734858,1.123463636,1.128974606,1.126467304,1.126334591,1.117596542,1.11378842,1.060729987,1.023579539
680.7488,1.253133037,1.183336039,1.161462333,1.149170488,1.137386711,1.122939713,1.11259083,1.120217716,1.125830303,1.12336916,1.123370645,1.114534841,1.110893906,1.058006479,1.02095078
681.2309,1.249574223,1.17983998,1.158034386,1.145700524,1.134133473,1.119581313,1.109414191,1.116897552,1.122624451,1.120211222,1.120331368,1.111402368,1.10795658,1.055236471,1.018254131
681.713,1.246040805,1.176422307,1.154684718,1.142291257,1.130935301,1.116259972,1.106315069,1.113618516,1.119454458,1.117093858,1.117318086,1.108310034,1.105046924,1.052521649,1.01558294
682.1951,1.242698702,1.173237594,1.151559012,1.139102011,1.127904488,1.113119091,1.103399853,1.110512004,1.116441278,1.114137729,1.114452815,1.105390406,1.102273537,1.049964208,1.013040042
682.6772,1.239629747,1.170353264,1.148714349,1.136210285,1.125084223,1.110237624,1.100707034,1.107651194,1.113662517,1.111406365,1.111809826,1.102719539,1.099712122,1.047605026,1.010677354
683.1594,1.236792741,1.167718339,1.146096367,1.13357489,1.122424839,1.10760053,1.098182616,1.105015786,1.111105863,1.108874142,1.109372675,1.100284755,1.097367377,1.045403736,1.008471912
683.6415,1.234051111,1.165191398,1.143567536,1.131059803,1.119811883,1.105105764,1.095699898,1.102502161,1.108677658,1.106444424,1.1070464,1.097998382,1.095162555,1.043262741,1.006344344
684.1236,1.23126659,1.162633213,1.140991955,1.128520871,1.117140621,1.102637853,1.09314768,1.100000821,1.106264439,1.104013105,1.104720124,1.095753733,1.092986448,1.04109722,1.004218774
