Wavenumber,t0,60s,120s,180s,5m,10m,15m,20m,25m,30m,40m,50m,60m,90m,2h
649.8933,0.566822994,0.537357342,0.528417796,0.523999432,0.520590687,0.519581912,0.519306081,0.526427448,0.531155493,0.533376723,0.540148252,0.540307622,0.546196345,0.531308325,0.523040661
650.3754,0.56604984,0.53659789,0.527560638,0.523212486,0.519780057,0.518774685,0.518490374,0.525577655,0.530279231,0.532558097,0.539272043,0.539506297,0.545309199,0.530421123,0.522106699
650.8575,0.565050694,0.535618023,0.52649601,0.522209408,0.518776401,0.517756337,0.517463605,0.524515169,0.529172125,0.531509294,0.538165533,0.53848903,0.544203493,0.529293576,0.520947554
651.3397,0.563921143,0.534506819,0.52532284,0.521080677,0.517657552,0.516606427,0.516298004,0.523320263,0.527910142,0.530294756,0.53689928,0.537313885,0.54292667,0.527994523,0.519620304
651.8218,0.562716193,0.533314273,0.524100599,0.519875733,0.516462427,0.515365509,0.515028716,0.522037468,0.526538431,0.528948181,0.535510941,0.536002733,0.541502156,0.526554823,0.518146255
652.3039,0.561422659,0.532027689,0.522824381,0.518581288,0.515170984,0.514015732,0.513636131,0.520650182,0.525047371,0.527454396,0.533983272,0.534525749,0.539913274,0.524955289,0.516496086
652.786,0.559974411,0.530581,0.521432357,0.51713344,0.513719205,0.512492285,0.51206025,0.519094539,0.523380824,0.525759403,0.532255626,0.532818905,0.53811139,0.523143696,0.514614284
653.2681,0.558299759,0.52890358,0.519850137,0.515462621,0.512041516,0.510729193,0.51024554,0.517299055,0.521479704,0.523812161,0.530266763,0.530826129,0.536048662,0.521073164,0.512455108
653.7502,0.556374187,0.526969636,0.518037484,0.513544208,0.510117096,0.508704721,0.508179962,0.515233067,0.519323007,0.521604984,0.528001223,0.528541455,0.533717746,0.518741515,0.510021295
654.2324,0.554246314,0.524822419,0.51601638,0.511419238,0.507988754,0.50646098,0.505913613,0.512930754,0.516952349,0.519193841,0.525507959,0.526023741,0.531164696,0.51620216,0.507371291
654.7145,0.55202038,0.522560134,0.513859842,0.509182295,0.505748333,0.504094019,0.5035395,0.51047942,0.514459005,0.516678646,0.522886465,0.52337877,0.528478247,0.513548072,0.504604786
655.1966,0.549802893,0.520290507,0.511651094,0.506934212,0.503490204,0.501704549,0.501151795,0.507980039,0.511942892,0.514161677,0.520247332,0.520714908,0.525752493,0.510868664,0.501818147
