Wavenumber,t0,60s,120s,180s,5m,8m,19m,15m,20m,25m,30m,40m,50m,60m,90m,2h
649.8933,0.610073887,0.575095631,0.565866044,0.561613166,0.558277647,0.588772467,0.580228879,0.563762886,0.55865749,0.558809298,0.562762889,0.558366386,0.558665891,0.552390271,0.53714524,0.529506914
650.3754,0.609320332,0.57443122,0.565184992,0.560912077,0.557509517,0.588058812,0.579383627,0.562935305,0.557704619,0.557822179,0.561743078,0.557261357,0.55761713,0.551383395,0.536051362,0.52851424
650.8575,0.608278653,0.57352099,0.564246181,0.559939535,0.556470645,0.587077172,0.578268839,0.56186765,0.556488618,0.556597177,0.560475558,0.555897299,0.556330148,0.55011753,0.534716159,0.527295245
651.3397,0.607003437,0.572395945,0.563078355,0.558746772,0.555222029,0.585839083,0.576917749,0.560610477,0.555078679,0.555207177,0.55903732,0.554347524,0.554843052,0.54864466,0.533199107,0.525888218
651.8218,0.605561996,0.571100554,0.561723986,0.557382267,0.553813505,0.584378031,0.575371073,0.559194178,0.553514831,0.553682279,0.557464485,0.552652189,0.553170545,0.546988249,0.531525473,0.524297376
652.3039,0.603999478,0.569664842,0.56021653,0.555872578,0.552263341,0.582729799,0.57365614,0.557613513,0.551792808,0.552002501,0.555749162,0.550802211,0.551293834,0.545136541,0.529686444,0.522506603
652.786,0.602321627,0.568089789,0.55856193,0.554212712,0.550557989,0.580909392,0.571771373,0.555837482,0.549876698,0.550123899,0.553847132,0.548759217,0.549181612,0.543060127,0.527658599,0.520499388
653.2681,0.600500946,0.566353779,0.556748453,0.552378962,0.548669485,0.578909462,0.569699977,0.553834331,0.547739967,0.548021005,0.551724923,0.546491168,0.54681423,0.540743221,0.525434698,0.518282845
653.7502,0.598506242,0.564429213,0.554764163,0.550354303,0.546588898,0.576715307,0.567425055,0.551598516,0.545386978,0.545714405,0.54938688,0.544001446,0.544211432,0.538202404,0.523038301,0.51589847
654.2324,0.596332999,0.562314697,0.552617461,0.548147808,0.544344546,0.574326569,0.564958872,0.549173636,0.542878293,0.54327935,0.546893608,0.54134524,0.54144016,0.535500105,0.520528703,0.51340941
654.7145,0.594013231,0.560037677,0.550343136,0.545805408,0.542001234,0.571767495,0.562344586,0.546633281,0.540303343,0.540812735,0.544331888,0.538604366,0.53858872,0.532720343,0.517973115,0.510874944
