Wavenumber,t0,60s,120s,180s,5m,8m,19m,15m,20m,25m,30m,40m,50m,60m,90m,2h
649.8933,0.600406288,0.591585443,0.583092287,0.579458869,0.576186726,0.603736655,0.595872261,0.583589146,0.582436793,0.57645944,0.584802909,0.576817246,0.580533401,0.581197143,0.582945038,0.585530501
650.3754,0.599664674,0.590901982,0.582390501,0.578735502,0.575393956,0.603004861,0.595004221,0.58273246,0.581443362,0.575441143,0.583743157,0.575675702,0.57944359,0.580137759,0.58175789,0.584432799
650.8575,0.598639502,0.589965653,0.581423111,0.577732057,0.574321758,0.601998272,0.593859377,0.581627259,0.580175602,0.574177449,0.582425996,0.57426657,0.578106231,0.578805879,0.580308841,0.58308483
651.3397,0.597384495,0.588808349,0.580219733,0.576501393,0.573033087,0.600728716,0.592471861,0.580325873,0.57870565,0.572743545,0.580931431,0.572665583,0.576560927,0.577256199,0.578662437,0.581528935
651.8218,0.595965896,0.587475815,0.578824134,0.575093529,0.571579378,0.59923053,0.590883485,0.578859767,0.577075236,0.571170483,0.579296998,0.570914227,0.574822955,0.575513407,0.5768461,0.579769777
652.3039,0.594428138,0.585998936,0.577270788,0.57353587,0.569979487,0.597540406,0.589122316,0.577223513,0.575279915,0.569437648,0.577514496,0.569003117,0.572872784,0.573565135,0.574850266,0.577789534
652.786,0.592776876,0.584378722,0.575565818,0.571823259,0.568219428,0.595673733,0.587186735,0.575385023,0.573282246,0.56749971,0.575537975,0.566892614,0.570677885,0.571380436,0.572649516,0.575569949
653.2681,0.590985046,0.582592935,0.573697136,0.56993124,0.566270343,0.593622972,0.585059492,0.573311426,0.571054564,0.565330395,0.573332651,0.564549619,0.568217838,0.568942705,0.570235995,0.573118888
653.7502,0.589021951,0.580613185,0.571652439,0.567842246,0.564123012,0.591373051,0.582723236,0.570996983,0.56860142,0.562950941,0.570903042,0.561977626,0.56551316,0.566269386,0.567635268,0.570482239
654.2324,0.586883146,0.57843804,0.569440387,0.565565638,0.561806663,0.588923601,0.580190563,0.568486825,0.565985953,0.560438974,0.568312123,0.559233647,0.562633414,0.563426163,0.564911689,0.567729827
654.7145,0.584600139,0.576095731,0.567096825,0.563148807,0.55938818,0.586299486,0.577505795,0.565857131,0.5633014,0.557894451,0.565650076,0.556402203,0.559670362,0.560501438,0.562138198,0.564927207
655.1966,0.582230287,0.573643359,0.56467645,0.560656499,0.556942409,0.583546924,0.574734787,0.563193471,0.56063598,0.555393804,0.5630021,0.55356347,0.556710177,0.557574594,0.559364122,0.562106474
655.6787,0.579830948,0.571136592,0.562228304,0.558147991,0.554522302,0.580714854,0.571939214,0.560552142,0.558038198,0.552959621,0.560409104,0.550758885,0.55380146,0.554686924,0.556595364,0.559263356
656.1608,0.577431206,0.568614701,0.559774616,0.555652369,0.552134983,0.577839654,0.569159791,0.557941858,0.555502264,0.550549011,0.557860083,0.547985002,0.550946088,0.551835423,0.553799771,0.556364979
656.6429,0.575024192,0.566080605,0.557307993,0.553167425,0.549744521,0.574936452,0.566403366,0.555335696,0.552980499,0.548088087,0.555309245,0.545209872,0.548118848,0.548989441,0.5509328,0.553387113
657.1251,0.572574362,0.563510793,0.554797445,0.550665176,0.547292359,0.572000273,0.563653526,0.552692592,0.550415089,0.545512512,0.552710746,0.542399645,0.545285774,0.546118131,0.547969811,0.550334807
657.6072,0.57005021,0.560879901,0.552216313,0.5481229,0.544737488,0.569029707,0.560893494,0.549990739,0.547775214,0.542804634,0.550051503,0.539550279,0.542437226,0.543215925,0.544923977,0.54725123
658.0893,0.567452138,0.558185699,0.549567129,0.545540757,0.542076397,0.566047782,0.558125361,0.547246152,0.545071683,0.540005211,0.54735898,0.536694472,0.539593621,0.540308299,0.54185287,0.544206597
658.5714,0.56481852,0.555457109,0.546885742,0.542944412,0.539352768,0.563100298,0.555374267,0.544502401,0.542349535,0.537189277,0.544683227,0.533883347,0.536788926,0.537434969,0.53882543,0.541266606
659.0535,0.562211966,0.552747994,0.544228692,0.540372735,0.536629559,0.560245459,0.552676118,0.541813956,0.539657845,0.534428435,0.542068166,0.531157441,0.534047613,0.534628604,0.535897423,0.538462431
659.5356,0.559693872,0.550108877,0.541645712,0.537855654,0.533964225,0.557527285,0.550059192,0.539209151,0.537026451,0.531758928,0.539520911,0.52852534,0.531370473,0.531892803,0.533086705,0.535780817
660.0178,0.557291302,0.547567563,0.539159978,0.535396061,0.531379499,0.554957868,0.547527407,0.536678332,0.534451837,0.529168555,0.537012749,0.525955843,0.528724926,0.529202977,0.530372299,0.533173497
660.4999,0.554990926,0.545120445,0.536757552,0.532970183,0.528865691,0.552511768,0.545060276,0.53418127,0.531905353,0.526614893,0.53449545,0.523397329,0.526067959,0.526521823,0.527714732,0.530586765
660.982,0.552753562,0.542741572,0.534404012,0.530545251,0.526395041,0.55014036,0.542625655,0.531671165,0.52936068,0.524056609,0.531934228,0.520809461,0.523372279,0.523829976,0.525082292,0.527984203
661.4641,0.550540435,0.540405471,0.532067473,0.528107434,0.523952988,0.547803184,0.540205773,0.529132258,0.526815644,0.521490745,0.529335418,0.518184599,0.520646837,0.521140494,0.522471856,0.525370376
