Time,Avg. test 2_205C,Err. test 2_205C,Avg. test 3_195C,Err. test 3_195C,Avg. test 4_185C,Err. test 4_185C,Avg. test 5_175C,Err. test 5_175C,Avg. test 6_165C,Err. test 6_165C,Avg. test 7_205C,Err. test 7_205C,Avg. test 8_165C,Err. test 8_165C,Avg. test 9.1&2_205C,Err. test 9.1&2_205C,Avg. test 9.3&4_165C,Err. test 9.3&4_165C
20,47.5,2.653613888,34.5,2.318404624,51.25,5.24364695,58.41666667,1.655378439,55.33333333,1.394433378,,,,,,,,
40,51.5,2.309401077,41.75,4.437059837,64.16666667,2.942976573,77.91666667,2.083333333,65.75,1.860779407,,,,,,,,
60,60.125,3.293775696,50,4.641300105,72.25,4.630964622,73.91666667,1.786134871,66.83333333,2.204792759,87.16666667,0.90029795,73.58333333,1.3429431,92.85,0.644722222,88.8,1.34
80,70.125,0.850857411,61,4.247548312,66.25,3.8291644,81.75,3.2371541,69,1.643167673,,,,,,,,
100,56.25,3.821539829,61.625,7.938238155,76.33333333,1.159501809,79.83333333,2.791853228,73.16666667,3.69834798,,,,,,,,
120,55.75,4.634562187,57.375,7.001115982,74.91666667,4.251306989,82.16666667,1.013793755,73.25,1.86525244,89.3,0.970720789,82.2,1.171217614,93.65,0.394722222,93.35,0.483611111
140,53,7.613037064,70.125,13.0342098,73,5.402160062,78,2.183269719,73.58333333,2.138600269,,,,,,,,
160,52.875,6.765029564,68.625,9.927602514,75.41666667,2.307295194,80.66666667,4.565571645,71.25,1.696810734,,,,,,,,
180,68,5.127540021,62,6.997023177,80.91666667,1.916666667,83.66666667,1.656636485,72.75,2.792101956,89,0.785647109,82.58333333,1.262428633,93.9,0.454444444,92.4,0.704444444
200,66.5,5.271780218,66.75,7.55121403,74.75,3.506541506,84.83333333,0.853098926,72.16666667,2.279132389,,,,,,,,
220,57.375,6.011707328,70.875,10.9399402,80.16666667,1.860406168,79.91666667,1.818500603,69.5,1.543804824,,,,,,,,
240,67,4.365039682,67,6.028207504,84.45833333,1.168491538,83.75,2.92488021,79,2.149700472,89.1,0.940591646,82.45,1.269978278,92.45,1.391388889,90.4,1.765555556
24 hrs,,,,,86.97222222,1.405214508,89.47222222,1.060638775,86.22222222,1.287332845,90.08333333,0.969679214,88.18333333,0.709331616,,,,
72 hrs,80.58333333,2.598683622,77.05,3.103842519,,,,,,,,,,,,,,
