Angle,Intensity
5.00896514,2713
5.022095423,2836
5.035225705,2768
5.048355988,2851
5.061486271,2692
5.074616553,2731
5.087746836,2819
5.100877119,2778
5.114007401,2741
5.127137684,2703
5.140267967,2780
5.153398249,2831
5.166528532,2866
5.179658815,2864
5.192789097,2803
5.20591938,2848
5.219049663,2932
5.232179945,2857
5.245310228,2836
5.258440511,2872
5.271570794,2795
5.284701076,2844
5.297831359,2915
5.310961642,2869
5.324091924,2854
5.337222207,2839
5.35035249,2840
5.363482772,2952
5.376613055,2936
5.389743338,2810
5.40287362,2839
5.416003903,2856
5.429134186,3056
5.442264468,2845
5.455394751,2910
5.468525034,3002
5.481655316,2959
5.494785599,3018
5.507915882,2970
5.521046164,2980
5.534176447,3005
5.54730673,3036
5.560437012,3041
5.573567295,3002
5.586697578,3010
5.59982786,2979
5.612958143,3051
5.626088426,3012
5.639218708,2968
5.652348991,2903
5.665479274,3001
5.678609556,3078
5.691739839,3058
5.704870122,3096
5.718000405,3020
5.731130687,3036
5.74426097,3066
5.757391253,3017
5.770521535,3060
5.783651818,3100
5.796782101,3072
5.809912383,3119
5.823042666,3091
5.836172949,3139
5.849303231,3068
5.862433514,3152
5.875563797,3080
5.888694079,3132
5.901824362,3137
5.914954645,3174
5.928084927,3183
5.94121521,3092
5.954345493,3132
5.967475775,3129
5.980606058,3121
5.993736341,3171
6.006866623,3117
6.019996906,3225
6.033127189,3180
6.046257471,3208
6.059387754,3195
6.072518037,3193
6.085648319,3215
6.098778602,3181
6.111908885,3278
6.125039167,3234
6.13816945,3271
6.151299733,3166
6.164430016,3286
6.177560298,3292
6.190690581,3306
6.203820864,3276
6.216951146,3319
6.230081429,3363
6.243211712,3364
6.256341994,3381
6.269472277,3321
6.28260256,3272
6.295732842,3314
6.308863125,3345
6.321993408,3349
6.33512369,3287
6.348253973,3249
6.361384256,3270
6.374514538,3358
6.387644821,3362
6.400775104,3350
6.413905386,3350
6.427035669,3331
6.440165952,3413
6.453296234,3381
6.466426517,3373
6.4795568,3350
6.492687082,3289
6.505817365,3543
6.518947648,3470
6.53207793,3284
6.545208213,3499
6.558338496,3430
6.571468778,3535
6.584599061,3456
6.597729344,3449
6.610859627,3448
6.623989909,3409
6.637120192,3412
6.650250475,3422
6.663380757,3529
6.67651104,3369
6.689641323,3590
6.702771605,3558
6.715901888,3510
6.729032171,3457
6.742162453,3490
6.755292736,3466
6.768423019,3558
6.781553301,3572
6.794683584,3650
6.807813867,3441
6.820944149,3494
6.834074432,3516
6.847204715,3602
6.860334997,3623
6.87346528,3523
6.886595563,3677
6.899725845,3706
6.912856128,3559
6.925986411,3616
6.939116693,3613
6.952246976,3655
6.965377259,3546
6.978507541,3640
6.991637824,3595
7.004768107,3650
7.017898389,3593
7.031028672,3724
7.044158955,3703
7.057289237,3636
7.07041952,3796
7.083549803,3620
7.096680086,3653
7.109810368,3874
7.122940651,3594
7.136070934,3660
7.149201216,3700
7.162331499,3704
7.175461782,3836
7.188592064,3721
7.201722347,3774
7.21485263,3681
7.227982912,3770
7.241113195,3685
7.254243478,3675
7.26737376,3777
7.280504043,3631
7.293634326,3876
7.306764608,3778
7.319894891,3757
7.333025174,3912
7.346155456,3821
7.359285739,3878
7.372416022,3758
7.385546304,3778
7.398676587,3789
7.41180687,3868
7.424937152,3750
7.438067435,3833
7.451197718,3851
7.464328,3788
7.477458283,3940
7.490588566,3830
7.503718848,3949
7.516849131,4000
7.529979414,3867
7.543109697,3916
7.556239979,3903
7.569370262,3872
7.582500545,3952
7.595630827,3989
7.60876111,3892
7.621891393,3884
7.635021675,3855
7.648151958,3967
7.661282241,3916
7.674412523,3956
7.687542806,3977
7.700673089,3907
7.713803371,4013
7.726933654,3818
7.740063937,4101
7.753194219,3911
7.766324502,3949
7.779454785,3976
7.792585067,3872
7.80571535,3913
7.818845633,3996
7.831975915,4057
7.845106198,4093
7.858236481,3954
7.871366763,4064
7.884497046,4100
7.897627329,3994
7.910757611,3856
7.923887894,3933
7.937018177,4042
7.950148459,4059
7.963278742,3934
7.976409025,4048
7.989539308,4069
8.00266959,4076
8.015799873,4045
8.028930156,4154
8.042060438,3973
8.055190721,4085
8.068321004,4044
8.081451286,4188
8.094581569,4006
8.107711852,4115
8.120842134,4064
8.133972417,4168
8.1471027,4120
8.160232982,4182
8.173363265,3973
8.186493548,4134
8.19962383,4070
8.212754113,4046
