Angle,Intensity
5.00896514,3208
5.022095423,3148
5.035225705,3145
5.048355988,3091
5.061486271,3117
5.074616553,3240
5.087746836,3201
5.100877119,3188
5.114007401,3256
5.127137684,3216
5.140267967,3295
5.153398249,3275
5.166528532,3273
5.179658815,3278
5.192789097,3126
5.20591938,3377
5.219049663,3352
5.232179945,3237
5.245310228,3211
5.258440511,3227
5.271570794,3224
5.284701076,3314
5.297831359,3299
5.310961642,3367
5.324091924,3214
5.337222207,3352
5.35035249,3443
5.363482772,3396
5.376613055,3371
5.389743338,3403
5.40287362,3343
5.416003903,3419
5.429134186,3397
5.442264468,3417
5.455394751,3495
5.468525034,3392
5.481655316,3429
5.494785599,3429
5.507915882,3376
5.521046164,3467
5.534176447,3382
5.54730673,3567
5.560437012,3474
5.573567295,3440
5.586697578,3550
5.59982786,3528
5.612958143,3431
5.626088426,3572
5.639218708,3508
5.652348991,3585
5.665479274,3619
5.678609556,3645
5.691739839,3499
5.704870122,3505
5.718000405,3666
5.731130687,3570
5.74426097,3558
5.757391253,3626
5.770521535,3551
5.783651818,3583
5.796782101,3730
5.809912383,3645
5.823042666,3652
5.836172949,3631
5.849303231,3657
5.862433514,3521
5.875563797,3750
5.888694079,3735
5.901824362,3603
5.914954645,3729
5.928084927,3682
5.94121521,3799
5.954345493,3673
5.967475775,3718
5.980606058,3743
5.993736341,3758
6.006866623,3800
6.019996906,3740
6.033127189,3941
6.046257471,3882
6.059387754,3795
6.072518037,3757
6.085648319,3853
6.098778602,3759
6.111908885,3861
6.125039167,3787
6.13816945,3768
6.151299733,3750
6.164430016,3894
6.177560298,3952
6.190690581,3940
6.203820864,3828
6.216951146,3832
6.230081429,3871
6.243211712,4084
6.256341994,4001
6.269472277,3938
6.28260256,3960
6.295732842,3892
6.308863125,3897
6.321993408,4003
6.33512369,3973
6.348253973,4115
6.361384256,4062
6.374514538,3926
6.387644821,3906
6.400775104,4096
6.413905386,4070
6.427035669,3978
6.440165952,4093
6.453296234,4059
6.466426517,4127
6.4795568,4119
6.492687082,4084
6.505817365,4166
6.518947648,4165
6.53207793,4114
6.545208213,4181
6.558338496,4211
6.571468778,4178
6.584599061,4110
6.597729344,4127
6.610859627,4215
6.623989909,4170
6.637120192,4101
6.650250475,4201
6.663380757,4167
6.67651104,4230
6.689641323,4270
6.702771605,4303
6.715901888,4189
6.729032171,4331
6.742162453,4237
6.755292736,4367
6.768423019,4174
6.781553301,4316
6.794683584,4267
6.807813867,4390
6.820944149,4265
6.834074432,4362
6.847204715,4416
6.860334997,4422
6.87346528,4445
6.886595563,4367
6.899725845,4330
6.912856128,4375
6.925986411,4378
6.939116693,4284
6.952246976,4405
6.965377259,4374
6.978507541,4484
6.991637824,4339
7.004768107,4427
7.017898389,4479
7.031028672,4425
7.044158955,4552
7.057289237,4495
7.07041952,4481
7.083549803,4530
7.096680086,4610
7.109810368,4585
7.122940651,4546
7.136070934,4480
7.149201216,4515
7.162331499,4474
7.175461782,4615
7.188592064,4667
7.201722347,4630
7.21485263,4602
7.227982912,4652
7.241113195,4537
7.254243478,4623
7.26737376,4648
7.280504043,4560
