Angle,Intensity
5.00896514,2789
5.022095423,2681
5.035225705,2796
5.048355988,2803
5.061486271,2803
5.074616553,2780
5.087746836,2844
5.100877119,2746
5.114007401,2734
5.127137684,2812
5.140267967,2814
5.153398249,2792
5.166528532,2800
5.179658815,2783
5.192789097,3011
5.20591938,2822
5.219049663,2737
5.232179945,2868
5.245310228,2824
5.258440511,2804
5.271570794,2951
5.284701076,2993
5.297831359,2890
5.310961642,2950
5.324091924,2975
5.337222207,2859
5.35035249,2890
5.363482772,3027
5.376613055,2957
5.389743338,3012
5.40287362,2980
5.416003903,3012
5.429134186,3004
5.442264468,2976
5.455394751,2955
5.468525034,3001
5.481655316,3022
5.494785599,2942
5.507915882,2910
5.521046164,3078
5.534176447,3105
5.54730673,2968
5.560437012,3100
5.573567295,3165
5.586697578,3054
5.59982786,3160
5.612958143,3119
5.626088426,3064
5.639218708,3106
5.652348991,3222
5.665479274,3157
5.678609556,3110
5.691739839,3138
5.704870122,3162
5.718000405,3109
5.731130687,3216
5.74426097,3133
5.757391253,3104
5.770521535,3228
5.783651818,3138
5.796782101,3209
5.809912383,3247
5.823042666,3175
5.836172949,3298
5.849303231,3250
5.862433514,3306
5.875563797,3219
5.888694079,3322
5.901824362,3248
5.914954645,3241
5.928084927,3211
5.94121521,3312
5.954345493,3410
5.967475775,3403
5.980606058,3464
5.993736341,3324
6.006866623,3358
6.019996906,3389
6.033127189,3347
6.046257471,3351
6.059387754,3445
6.072518037,3307
6.085648319,3397
6.098778602,3480
6.111908885,3339
6.125039167,3356
6.13816945,3469
6.151299733,3459
6.164430016,3470
6.177560298,3422
6.190690581,3366
6.203820864,3476
6.216951146,3422
6.230081429,3367
6.243211712,3470
6.256341994,3552
6.269472277,3502
6.28260256,3535
6.295732842,3506
6.308863125,3611
6.321993408,3497
6.33512369,3511
6.348253973,3508
6.361384256,3526
6.374514538,3504
6.387644821,3590
6.400775104,3525
6.413905386,3578
6.427035669,3683
6.440165952,3507
6.453296234,3518
6.466426517,3552
6.4795568,3665
6.492687082,3596
6.505817365,3573
6.518947648,3732
6.53207793,3595
6.545208213,3567
6.558338496,3560
6.571468778,3616
6.584599061,3743
6.597729344,3687
6.610859627,3743
6.623989909,3628
6.637120192,3709
6.650250475,3768
6.663380757,3650
6.67651104,3758
6.689641323,3686
6.702771605,3799
6.715901888,3739
6.729032171,3775
6.742162453,3798
6.755292736,3754
6.768423019,3863
6.781553301,3744
6.794683584,3764
6.807813867,3781
6.820944149,3704
6.834074432,3879
6.847204715,3832
6.860334997,3812
6.87346528,3805
6.886595563,3907
6.899725845,3890
6.912856128,3873
6.925986411,3899
6.939116693,3941
6.952246976,3896
6.965377259,3941
6.978507541,3986
6.991637824,3885
7.004768107,3931
7.017898389,3855
7.031028672,3973
7.044158955,3842
7.057289237,3919
7.07041952,3751
7.083549803,3954
7.096680086,3857
7.109810368,3985
7.122940651,4014
7.136070934,3897
7.149201216,3907
7.162331499,3783
7.175461782,3846
7.188592064,3924
7.201722347,3975
7.21485263,4092
7.227982912,3967
7.241113195,3991
7.254243478,4061
7.26737376,4063
7.280504043,3848
7.293634326,4104
7.306764608,4115
7.319894891,4013
7.333025174,4205
7.346155456,4024
7.359285739,4067
7.372416022,4116
7.385546304,4058
7.398676587,4076
7.41180687,4093
7.424937152,4165
7.438067435,4118
7.451197718,4081
7.464328,4183
7.477458283,4183
7.490588566,4013
7.503718848,4081
7.516849131,4133
7.529979414,4046
7.543109697,4189
7.556239979,4250
7.569370262,4256
7.582500545,4207
7.595630827,4194
7.60876111,4130
7.621891393,4229
7.635021675,4238
7.648151958,4243
